loc_rowid,pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,sy_dist
4371,MOA-2013-BLG-605L b,MOA-2013-BLG-605L,1,1,,0.930000,1.620,3.24000,4.190000,,,,,,,0.02,,,850.0000000
4372,MOA-2015-BLG-337L b,MOA-2015-BLG-337L,1,1,,0.240000,6.420,33.70000,0.700000,,,,,,,0.01,,,7100.0000000
4373,MOA-2016-BLG-227L b,MOA-2016-BLG-227L,1,1,,1.390000,13.200,890.00000,2.130000,,,,,,,0.29,,,6500.0000000
4374,MOA-2016-BLG-319L b,MOA-2016-BLG-319L,1,1,,0.950000,14.100,200.00000,0.392000,,,,,,,0.15,,,6800.0000000
4375,MOA-bin-1L b,MOA-bin-1L,1,1,,8.300000,13.000,1200.00000,3.000000,,,,,,,0.75,,,5100.0000000
4376,MOA-bin-29 b,MOA-bin-29,1,1,,0.480000,14.100,190.00000,0.372000,,,,,,,0.03,,,7120.0000000
4377,MXB 1658-298 b,MXB 1658-298,2,1,760.00000000,1.613000,12.000,7532.57100,24.000000,,,,,,,1.98,,,
4378,NGC 2682 Sand 364 b,NGC 2682 Sand 364,1,1,121.71000000,0.530000,12.700,2126.28270,5.700000,0.350000,,,K3 III,4284.00,39.59,9.06,-0.020,[Fe/H],817.1920000
4379,NGC 2682 Sand 978 b,NGC 2682 Sand 978,1,1,511.21000000,,13.300,692.86940,1.620000,0.160000,,,K4 III,4200.00,21.02,1.37,-0.020,[M/H],821.9180000
4380,NGC 2682 YBP 1194 b,NGC 2682 YBP 1194,1,1,6.95900000,,12.300,101.70560,0.300000,0.300000,,,G5 V,5780.00,0.99,1.01,0.023,[Fe/H],872.9200000
4381,NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,1,1,5.11800000,,14.000,127.13200,0.255000,0.280000,,,G5 V,5725.00,0.89,0.96,0.030,[Fe/H],914.2210000
4382,NGC 2682 YBP 401 b,NGC 2682 YBP 401,1,1,4.08700000,,14.300,146.20180,0.275000,0.150000,,,F9 V,6165.00,1.22,1.14,-0.046,[M/H],830.8220000
4383,NGTS-1 b,NGTS-1,1,1,2.64729800,0.032600,14.908,258.07796,0.420000,0.016000,65.30,790,M0.5,3916.00,0.57,0.62,0.000,[M/H],218.1210000
4384,NGTS-10 b,NGTS-10,1,1,0.76689440,0.014300,13.507,687.14846,1.430000,0.000000,,1332,K5 V,4600.00,0.70,0.70,-0.020,[M/H],324.6986504
4385,NGTS-11 b,NGTS-11,1,1,35.45533000,0.201000,9.158,109.33352,0.780000,0.130000,33.16,435,K,5050.00,0.83,0.86,0.220,[Fe/H],190.4220000
4386,NGTS-12 b,NGTS-12,1,1,7.53280600,0.075700,11.747,66.10864,0.223000,0.000000,416.00,1257,G,5690.00,1.59,1.02,-0.030,[Fe/H],446.4420000
4387,NGTS-13 b,NGTS-13,1,1,4.11902700,0.054900,12.801,1538.29720,4.020000,0.086000,1096.00,1605,,5819.00,1.79,1.30,0.250,[Fe/H],647.5950000
4388,NGTS-14 A b,NGTS-14 A,2,1,3.53571730,0.040300,4.977,29.24036,1.395000,0.000000,,1143,K1 V,5187.00,0.84,0.90,0.100,[Fe/H],322.1480000
4389,NGTS-15 b,NGTS-15,1,1,3.27623000,0.044100,12.330,238.68913,0.740000,0.000000,425.00,1146,G6 V,5600.00,0.95,0.99,0.150,[Fe/H],786.4850000
4390,NGTS-16 b,NGTS-16,1,1,4.84532000,0.052300,14.572,211.99155,0.380000,0.000000,480.00,1177,G7 V,5550.00,1.21,1.00,0.350,[Fe/H],898.1680000
4391,NGTS-17 b,NGTS-17,1,1,3.24253000,0.039100,13.899,242.82090,0.500000,0.000000,1160.00,1457,G4 V,5650.00,1.34,1.02,0.150,[Fe/H],1040.2800000
4392,NGTS-18 b,NGTS-18,1,1,3.05125000,0.044800,13.563,129.99182,0.280000,0.000000,845.00,1381,G5 V,5610.00,1.39,1.00,0.150,[Fe/H],1096.1900000
4393,NGTS-2 b,NGTS-2,1,1,4.51116400,0.063000,17.878,235.19420,0.226000,0.000000,,1468,F5 V,6478.00,1.70,1.64,-0.060,[Fe/H],356.3910000
4394,NGTS-3 A b,NGTS-3 A,2,1,1.67537280,0.023000,16.589,756.43540,0.310000,,,,G6 V,5600.00,0.93,1.02,0.120,[Fe/H],743.9720000
4395,NGTS-4 b,NGTS-4,1,1,1.33735080,0.019000,3.180,20.60000,3.450000,0.000000,,1650,,5143.00,0.84,0.75,-0.280,[M/H],280.5550000
4396,NGTS-5 b,NGTS-5,1,1,3.35698660,0.038200,12.733,72.78307,0.194000,0.000000,,952,K2 V,4987.00,0.74,0.66,0.120,[Fe/H],306.7790000
4397,NGTS-6 b,NGTS-6,1,1,0.88205900,0.016770,14.863,425.57437,0.711000,0.000000,,1284,,4730.00,0.75,0.77,0.110,[Fe/H],308.2620000
4398,NGTS-8 b,NGTS-8,1,1,2.49970000,0.035000,12.218,295.58190,0.890000,0.010000,503.00,1345,K0 V,5241.00,0.98,0.89,0.240,[Fe/H],428.9760000
4399,NGTS-9 b,NGTS-9,1,1,4.43527000,0.058000,11.994,921.70700,2.930000,0.060000,729.00,1448,F8 V,6330.00,1.38,1.34,0.310,[Fe/H],609.1280000
4400,NN Ser c,NN Ser,2,2,5573.55000000,5.350000,12.600,2329.60000,6.400000,0.080000,,,WD,57000.00,,0.54,,,515.8180000
4401,NN Ser d,NN Ser,2,2,2883.50000000,3.430000,13.300,731.00000,1.710000,0.190000,,,WD,57000.00,,0.54,,,515.8180000
4402,NSVS 14256825 b,NSVS 14256825,2,1,3225.00000000,3.120000,12.300,4497.29450,13.300000,0.120000,,,,40000.00,0.19,0.42,,,820.8770000
4403,NY Vir b,NY Vir,2,2,3160.00000000,3.300000,13.300,730.97800,1.710000,0.150000,,,,32780.00,0.15,0.46,,,544.0240000
4404,NY Vir c,NY Vir,2,2,8799.00000000,,12.800,1760.77820,4.610000,0.150000,,,,32780.00,0.15,0.46,,,544.0240000
4405,OGLE-2003-BLG-235L b,OGLE-2003-BLG-235L,1,1,,4.300000,13.200,830.00000,1.980000,,,,K V,,,0.63,,,5800.0000000
4406,OGLE-2005-BLG-071L b,OGLE-2005-BLG-071L,1,1,,3.600000,13.000,1200.00000,3.000000,,,55,,,,0.46,,,3200.0000000
4407,OGLE-2005-BLG-169L b,OGLE-2005-BLG-169L,1,1,,3.500000,3.840,14.10000,1.370000,,,,K5,,,0.69,,,4100.0000000
4408,OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,1,1,3285.00000000,2.600000,2.210,5.50000,2.800000,,,50,,,,0.22,,,6600.0000000
4409,OGLE-2006-BLG-109L b,OGLE-2006-BLG-109L,1,2,1788.50000000,2.300000,14.000,231.00000,0.463000,,,82,,,,0.51,,,1510.0000000
4410,OGLE-2006-BLG-109L c,OGLE-2006-BLG-109L,1,2,4927.50000000,4.500000,11.100,86.00000,0.346000,0.150000,,59,,,,0.51,,,1510.0000000
4411,OGLE-2007-BLG-349L AB c,OGLE-2007-BLG-349L A,2,1,2557.00000000,2.590000,10.700,80.00000,0.359000,,,,M,,,0.41,,,2760.0000000
4412,OGLE-2007-BLG-368L b,OGLE-2007-BLG-368L,1,1,,2.800000,4.720,20.00000,1.050000,,,,,,,0.64,,,5900.0000000
4413,OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,2,1,,15.000000,8.740,57.00000,0.469000,,,,,,,0.71,,,8100.0000000
4414,OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L,1,1,,1.700000,12.900,1500.00000,3.840000,,,,,,,0.37,,,6800.0000000
4415,OGLE-2011-BLG-0173L b,OGLE-2011-BLG-0173L,1,1,,8.000000,9.010,60.00000,0.451000,,,,,,,0.41,,,6100.0000000
4416,OGLE-2011-BLG-0251L b,OGLE-2011-BLG-0251L,1,1,,2.720000,14.200,170.00000,0.326000,,,,M,,,0.26,,,2570.0000000
4417,OGLE-2011-BLG-0265L b,OGLE-2011-BLG-0265L,1,1,,1.890000,13.900,280.00000,0.573000,,,,,,,0.21,,,4380.0000000
4418,OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,1,2,,4.000000,7.720,46.10000,0.551000,,,,G5 V,,,1.06,,,4019.0000000
