pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist
Kepler-186 f,Kepler-186,1,5,129.94410000,0.432000,1.170,1.71000,5.870000,0.040000,3755.00,0.54,-0.260,177.5940000
Kepler-1860 b,Kepler-1860,1,1,12.73719978,0.102100,1.139,1.55000,5.770000,0.000000,5420.00,0.87,0.000,438.7030000
Kepler-1861 b,Kepler-1861,1,1,40.03060150,0.240800,2.207,5.50000,2.810000,0.000000,5855.00,1.16,0.260,829.9850000
Kepler-1862 b,Kepler-1862,1,1,16.05730057,0.119900,2.203,5.49000,2.820000,0.000000,5644.00,0.90,-0.240,1232.1900000
Kepler-1863 b,Kepler-1863,1,1,44.99760056,0.255500,2.263,5.74000,2.720000,0.000000,5871.00,1.10,0.210,865.5460000
Kepler-1864 b,Kepler-1864,1,1,3.88151002,0.048800,0.754,0.35300,4.520000,0.000000,5854.00,1.03,0.060,298.8940000
Kepler-1865 b,Kepler-1865,1,1,2.52400994,0.034400,1.577,3.11000,4.360000,0.000000,5420.00,0.85,-0.060,922.2550000
Kepler-1866 b,Kepler-1866,1,1,11.66009998,0.101600,2.082,4.99000,3.040000,0.000000,5791.00,1.03,0.160,976.7370000
Kepler-1867 b,Kepler-1867,1,1,9.88735962,0.087200,1.160,1.65000,5.810000,0.000000,5693.00,0.91,-0.240,680.5830000
Kepler-1868 b,Kepler-1868,1,1,211.03399660,0.626600,3.150,10.10000,1.780000,0.000000,4658.00,0.74,0.000,274.1800000
Kepler-1869 b,Kepler-1869,1,1,8.16736031,0.079100,1.120,1.46000,5.720000,0.000000,5808.00,0.99,-0.060,113.0250000
Kepler-187 b,Kepler-187,1,2,4.93886400,0.059000,1.410,2.57000,5.040000,0.000000,6105.00,1.11,-0.020,1143.0000000
Kepler-187 c,Kepler-187,1,2,10.64026300,0.099000,2.670,7.61000,2.200000,0.000000,6105.00,1.11,-0.020,1143.0000000
Kepler-1870 b,Kepler-1870,1,1,3.60694003,0.045300,2.101,5.07000,3.000000,0.000000,5508.00,0.95,0.070,407.2160000
Kepler-1871 b,Kepler-1871,1,1,1.95270002,0.030800,2.422,6.44000,2.490000,0.000000,5741.00,1.02,0.120,854.6230000
