pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist,exo_class,exo_class_ext
Kepler-848 b,Kepler-848,1,1,6.91134416,0.072,1.7,3.53,3.95,0.0,5695.0,1.01,0.15,1378.47,Super-Earth,Super-Earth
Kepler-849 b,Kepler-849,1,1,394.6244904,1.1088,7.14,40.4,0.61,0.0,6059.0,1.23,0.12,822.134,Neptune-like,Neptune-like
Kepler-85 b,Kepler-85,1,4,8.306,0.0766,1.97,4.54,3.26,0.0,5499.0,0.92,0.0,765.025,Super-Earth,Super-Earth
Kepler-85 c,Kepler-85,1,4,12.513,0.1007,2.18,20.9,11.1,0.0,5499.0,0.92,0.0,765.025,Neptune-like,Neptune-like
Kepler-85 d,Kepler-85,1,4,17.91323,0.13,1.2,1.87,5.95,0.0,5436.0,0.87,-0.02,765.025,Super-Earth,Super-Earth
Kepler-85 e,Kepler-85,1,4,25.216751,0.163,1.27,0.6,1.6,0.0,5436.0,0.92,0.0,765.025,Terrestrial,Terrestrial
Kepler-850 b,Kepler-850,1,1,7.19303878,0.0744,1.78,3.82,3.72,0.0,5932.0,1.06,0.03,1661.28,Super-Earth,Super-Earth
Kepler-851 b,Kepler-851,1,1,8.50699658,0.0802,1.68,3.46,4.01,0.0,5455.0,0.89,-0.07,839.255,Super-Earth,Super-Earth
Kepler-852 b,Kepler-852,1,1,44.9309804,0.2654,2.54,6.99,2.34,0.0,6100.0,1.19,0.22,1619.03,Neptune-like,Neptune-like
Kepler-853 b,Kepler-853,1,1,7.16892463,0.0779,1.69,3.5,3.98,0.0,6350.0,1.3,0.07,568.676,Super-Earth,Super-Earth
Kepler-854 b,Kepler-854,1,1,2.14463285,0.0334,16.72,42000.0,49.4,0.0,6179.0,1.17,0.04,1397.04,Gas giant,Hot Jupiter
Kepler-855 b,Kepler-855,1,1,7.8866311,0.0762,8.35,52.7,0.497,0.0,5835.0,1.03,0.06,1506.58,Neptune-like,Neptune-like
Kepler-856 b,Kepler-856,1,1,8.02768059,0.0787,9.3,63.3,0.432,0.0,5535.0,0.96,0.12,1351.17,Gas giant,Hot Jupiter
Kepler-857 b,Kepler-857,1,1,85.35129427,0.3751,6.8,37.2,0.65,0.0,5773.0,0.99,0.02,983.502,Neptune-like,Neptune-like
Kepler-858 b,Kepler-858,1,1,76.13602028,0.3403,4.87,21.1,1.0,0.0,5653.0,0.96,-0.04,298.532,Neptune-like,Neptune-like
Kepler-859 b,Kepler-859,1,1,20.38177573,0.1345,3.09,9.75,1.82,0.0,5020.0,0.81,-0.02,839.903,Neptune-like,Neptune-like
Kepler-860 b,Kepler-860,1,1,5.10137945,0.058,3.24,10.6,1.71,0.0,5836.0,1.04,0.09,1056.36,Neptune-like,Neptune-like
Kepler-861 b,Kepler-861,1,1,3.94963138,0.0463,2.28,5.82,2.7,0.0,5047.0,0.82,0.01,850.327,Super-Earth,Super-Earth
